itemName,price,category,ingredients
Gujarati Lasaniya Batata Recipe - Garlic Potato Curry,29,Course: Side Dish,"['Baby Potatoes', 'Garlic', 'Oil', 'Cumin seeds (Jeera)', 'Gram flour (besan)', 'Coriander Powder (Dhania)', 'Garam masala powder', 'Red Chilli powder', 'Turmeric powder (Haldi)', 'Curd (Dahi / Yogurt)', 'Salt', 'Coriander (Dhania) Leaves']"
Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom ,132,Course: Lunch,"['Button mushrooms', 'Spinach Leaves (Palak)', 'Tomato', 'Garlic', 'Ginger', 'Green Chillies', 'Cumin seeds (Jeera)', 'Cinnamon Stick (Dalchini)', 'Cumin powder (Jeera)', 'Turmeric powder (Haldi)', 'Garam masala powder', 'Fresh cream', 'Ghee', 'Salt']"
Grilled Peri Peri Paneer Recipe Using Nando's Lemon And Herb Sauce,48,Course: Dinner,"['Paneer (Homemade Cottage Cheese)', ""Nando's Lemon And Herb Sauce"", 'Oil', 'Carrots (Gajjar)', 'Green peas (Matar)', 'Garlic', 'Lemon juice', 'Extra Virgin Olive Oil', 'Whole Black Peppercorns', 'Cayenne Pepper', 'Parsley leaves', 'Coriander (Dhania) Leaves', 'Dried Thyme Leaves', 'Dried oregano', 'Salt']"
Mangalorean Style Sonay Sukka Recipe - Dry Chickpea Stir Fry ,120,Course: Lunch,"['Kabuli Chana (White Chickpeas)', 'Mustard seeds (Rai/ Kadugu)', 'Curry leaves', 'Cloves (Laung)', 'Onion', 'Fresh coconut', 'Tamarind Water', 'Oil', 'Salt', 'Byadagi Dried Chillies', 'Coriander (Dhania) Seeds', 'Cumin seeds (Jeera)', 'Whole Black Peppercorns', 'Turmeric powder (Haldi)']"
Andhra Pepper Chicken Recipe - Dry Restaurant Style Pepper Chicken,146,Course: Main Course,"['Chicken', 'Garlic', 'Ginger', 'Lemon', 'Turmeric powder (Haldi)', 'Salt', 'Onion', 'Garlic', 'Ginger', 'Green Chillies', 'Salt', 'Curry leaves', 'Whole Black Peppercorns', 'Coriander Powder (Dhania)', 'Oil', 'Coriander (Dhania) Leaves', 'Whole Black Pepper Corns', 'Lemon juice']"
Avocado Mint Soup Recipe,132,Course: Appetizer,"['Avocados', 'Garlic', 'Ginger', 'Onion', 'Mint Leaves (Pudina)', 'Extra Virgin Olive Oil', 'Fresh Red chillies']"
Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,133,Course: Lunch,"['Hog Plum (Amtekai)', 'Fresh coconut', 'Turmeric powder (Haldi)', 'Coriander (Dhania) Seeds', 'Black Urad Dal (Split)', 'Rice', 'Methi Seeds (Fenugreek Seeds)', 'Whole Black Peppercorns', 'Dry Red Chilli', 'Jaggery', 'Asafoetida (hing)', 'Karela (Bitter Gourd/ Pavakkai)', 'Salt', 'Oil', 'Oil', 'Mustard seeds (Rai/ Kadugu)', 'Asafoetida (hing)']"
Goan Bimbla Uddamethi Recipe,20,Course: Lunch,"['Bimbla (Bilimbi)', 'Fresh coconut', 'Red Chilli powder', 'Turmeric powder (Haldi)', 'Jaggery', 'Oil', 'Methi Seeds (Fenugreek Seeds)', 'White Urad Dal (Split)', 'Mustard seeds (Rai/ Kadugu)', 'Curry leaves', 'Asafoetida (hing)', 'Salt']"
Waldorf Salad Recipe,43,Course: Appetizer,"['Apple', 'Celery', 'Red grapes', 'Walnuts', 'Hung Curd (Greek Yogurt)', 'Fresh cream', 'Salt and Pepper']"
Bengali Bhetki Macher Paturi Recipe (Barramundi Fish Wrapped in Banana Leaf),102,Course: Side Dish,"['Bhetki fish', 'Mustard seeds (Rai/ Kadugu)', 'Poppy seeds', 'Fresh coconut', 'Green Chillies', 'Turmeric powder (Haldi)', 'Salt', 'Banana leaf', 'Mustard oil']"
Carrot Porial Recipe - South Indian Style Carrot Stir Fry,89,Course: Lunch,"['Carrots (Gajjar)', 'Mustard seeds (Rai/ Kadugu)', 'White Urad Dal (Split)', 'Dry Red Chilli', 'Curry leaves', 'Asafoetida (hing)', 'Turmeric powder (Haldi)', 'Fresh coconut', 'Oil', 'Salt']"
Vazhaithandu Poriyal Recipe | Banana Stem Curry with No Onion and No Garlic,136,Course: Lunch,"['Banana Stem', 'Mustard seeds (Rai/ Kadugu)', 'White Urad Dal (Split)', 'Green Chillies', 'Black pepper powder', 'Curry leaves', 'Turmeric powder (Haldi)', 'Salt', 'Coconut Oil']"
Manathakkali Keerai Poricha Kootu Recipe,32,Course: Lunch,"['Manathakkali Keerai', 'Arhar dal (Split Toor Dal)', 'Turmeric powder (Haldi)', 'Salt', 'Fresh coconut', 'White Urad Dal (Split)', 'Dry Red Chillies', 'Cumin seeds (Jeera)', 'Whole Black Pepper Corns', 'Coconut Oil', 'Curry leaves', 'Mustard seeds (Rai/ Kadugu)', 'White Urad Dal (Split)']"
Mullangi Poriyal recipe - South Indian Style Radish Stir Fry,71,Course: Lunch,"['Mooli/ Mullangi (Radish)', 'Sesame (Gingelly) Oil', 'Mustard seeds (Rai/ Kadugu)', 'Curry leaves', 'Dry Red Chillies', 'Tamarind Paste', 'Sambar Powder', 'Salt', 'Fresh coconut']"
Andhra Style Vankaya Kothimeera Karam Koora Recipe,111,Course: Side Dish,"['Small Brinjal (Baingan / Eggplant)', 'Coriander (Dhania) Leaves', 'Green Chillies', 'Salt', 'Oil']"
Swedish Saffron Buns Recipe,102,Course: Snack,"['All Purpose Flour (Maida)', 'Active dry yeast', 'Milk', 'Butter (Salted)', 'Whole Eggs', 'Saffron strands', 'Sultana Raisins', 'Salt', 'Caster Sugar', 'Egg white']"
3 minute Eggless Strawberry Red Velvet Mug Cake Made using Archana's Kitchen Zero Maida Strawberry Cake Mix,57,Course: Dessert,"['title=""A Strawberry Velvet Cake Mix that has the taste of real strawberries, is soft, moist and delicious"">Archana\'s Kitchen Strawberry Velvet Cake Mix', 'Oil', 'Curd (Dahi / Yogurt)', 'Cashew nuts']"
Cheesy Spinach Open Toast Recipe,109,Course: Snack,"['Spinach', 'Garlic', 'Onion', 'Fresh cream', 'Milk', 'Butter (Salted)', 'Red Chilli flakes', 'Salt', 'Black pepper powder', 'Mozzarella cheese', 'Whole Wheat Brown Bread']"
Konkani Style Maskasangi Magge Koddel Recipe-Drumstick and Mangalore Cucumber Curry,86,Course: Lunch,"['Drumstick', 'Mangalorean cucumber', 'Tamarind Water', 'Red Chilli powder', 'Turmeric powder (Haldi)', 'Jaggery', 'Garlic', 'Salt', 'Dry Red Chillies', 'Coriander (Dhania) Seeds', 'Fresh coconut']"
